,crop,azl,lbg,twi,nfk,area_iacs,SMI_magnitude,lst,ndvi,year,lstndvi,lstndvi_anom,SPEI_magnitude
56,sunflower,18.82,5.0,11.45,153.06,19.26,0.0,305.26,0.29,2013,1066.7,0.48,-0.66
57,potatoes,19.06,5.0,10.72,116.59,1.63,0.0,302.0,0.33,2013,914.29,0.21,-0.87
58,oat,16.83,5.0,7.51,152.77,6.64,0.0,300.29,0.52,2013,572.84,0.14,-0.69
59,oat,20.25,5.0,12.63,115.55,7.74,0.0,303.58,0.64,2013,477.3,-0.05,-0.94
60,rye,21.18,5.0,9.34,112.8,1.33,0.0,301.96,0.66,2013,458.49,0.0,-0.81
61,rye,26.6,4.0,16.23,152.24,0.76,0.0,303.71,0.53,2013,575.61,0.25,-0.76
62,peas,32.85,3.0,15.11,,2.03,0.0,301.11,0.44,2013,682.32,0.32,-1.11
63,rye,49.37,1.0,10.95,148.88,4.06,0.0,296.08,0.77,2013,382.94,-0.17,-0.9
64,rye,29.09,3.0,8.68,116.56,13.76,0.0,297.68,0.83,2013,359.58,-0.22,-0.88
65,rye,21.7,5.0,13.88,113.68,76.57,0.0,305.37,0.6,2013,512.71,0.11,-0.87
66,rye,31.08,3.0,12.52,114.98,39.58,0.0,299.45,0.77,2013,387.66,-0.16,-0.88
67,rye,25.15,4.0,9.28,150.05,5.37,0.0,299.28,0.78,2013,381.34,-0.17,-1.05
68,rye,25.45,4.0,11.07,151.55,14.63,0.0,297.92,0.83,2013,361.1,-0.22,-1.05
69,rye,14.12,5.0,11.17,138.72,0.91,0.0,304.59,0.68,2013,448.0,-0.03,-0.89
70,rye,22.78,5.0,10.13,151.55,11.74,0.0,298.72,0.82,2013,365.73,-0.21,-0.97
71,rye,21.16,5.0,15.49,99.64,17.17,0.0,298.33,0.82,2013,361.78,-0.21,-1.0
72,rye,19.38,5.0,10.7,142.9,6.41,0.0,298.94,0.76,2013,393.23,-0.15,-1.05
73,rye,15.72,5.0,12.95,119.0,3.82,0.0,303.18,0.46,2013,659.63,0.43,-0.77
74,rye,20.33,5.0,12.82,116.56,28.19,0.0,301.62,0.69,2013,439.58,-0.05,-0.77
75,rye,27.79,4.0,14.74,114.26,3.51,0.0,300.85,0.71,2013,425.4,-0.08,-0.86
76,rye,41.62,2.0,13.12,99.64,40.38,0.0,300.18,0.71,2013,419.98,-0.09,-0.79
77,rye,31.55,3.0,10.32,115.18,18.19,0.0,299.03,0.77,2013,387.27,-0.16,-0.76
78,rye,20.2,5.0,9.85,106.36,14.92,0.0,298.0,0.79,2013,376.26,-0.18,-0.82
79,rye,29.17,3.0,8.09,111.66,30.52,0.0,298.05,0.77,2013,386.1,-0.16,-0.76
80,rye,21.26,5.0,12.23,151.46,10.49,0.0,299.71,0.73,2013,409.26,-0.11,-0.94
81,rye,20.64,5.0,9.89,122.76,3.97,0.0,301.76,0.68,2013,443.9,-0.04,-0.84
82,rye,20.6,5.0,12.43,103.47,2.67,0.0,301.71,0.64,2013,472.33,0.03,-0.77
83,rye,34.16,3.0,14.17,99.64,5.46,0.0,300.49,0.8,2013,376.45,-0.18,-0.79
84,rye,21.99,5.0,12.74,118.22,1.7,0.0,300.66,0.73,2013,411.1,-0.11,-0.87
85,rye,22.22,5.0,11.57,142.52,33.69,0.0,299.23,0.83,2013,359.32,-0.22,-0.89
86,rye,30.65,3.0,14.39,116.56,21.94,0.0,299.76,0.7,2013,427.76,-0.07,-0.76
87,rye,26.77,4.0,13.04,215.13,10.73,0.0,299.56,0.75,2013,397.6,-0.14,-0.84
88,rye,24.04,4.0,12.73,175.1,1.0,0.0,301.67,0.76,2013,397.31,-0.14,-0.82
89,rye,24.44,4.0,13.9,219.78,8.78,0.0,301.39,0.63,2013,480.88,0.04,-0.97
90,rye,21.58,5.0,15.71,181.52,6.42,0.0,300.67,0.78,2013,385.24,-0.16,-0.94
91,rye,20.41,5.0,9.85,148.09,33.43,0.0,300.08,0.67,2013,451.02,-0.02,-1.05
92,rye,31.46,3.0,11.18,156.73,0.56,0.0,299.0,0.74,2013,401.48,-0.13,-0.77
93,rye,29.03,3.0,16.93,111.32,1.33,0.0,299.35,0.84,2013,355.1,-0.23,-0.77
94,rye,23.57,4.0,12.22,198.68,35.41,0.0,299.29,0.77,2013,388.83,-0.16,-0.89
95,rye,24.89,4.0,11.49,122.76,2.41,0.0,302.45,0.79,2013,384.45,-0.17,-0.84
96,rye,19.54,5.0,12.57,115.08,3.95,0.0,304.34,0.66,2013,462.34,0.0,-0.86
97,rye,11.45,5.0,11.24,114.5,3.68,0.0,304.12,0.63,2013,480.93,0.04,-0.82
98,rye,35.15,2.0,10.86,126.43,20.01,0.0,299.86,0.84,2013,356.3,-0.23,-0.93
99,rye,27.39,4.0,14.17,115.15,7.52,0.0,301.6,0.71,2013,423.87,-0.08,-0.81
100,rye,18.31,5.0,12.78,135.67,1.53,0.0,302.48,0.63,2013,479.59,0.04,-0.91
101,rye,32.21,3.0,8.58,146.61,19.19,0.0,295.04,0.84,2013,350.72,-0.24,-0.93
102,rye,29.2,3.0,15.82,111.28,1.61,0.0,300.21,0.74,2013,408.1,-0.11,-0.64
103,rye,18.14,5.0,12.53,122.76,16.83,0.0,299.73,0.66,2013,454.36,-0.01,-0.64
104,rye,17.01,5.0,9.68,114.98,12.47,0.0,301.67,0.59,2013,510.1,0.11,-0.75
105,triticale,45.66,1.0,14.03,132.82,8.88,0.0,297.72,0.85,2013,350.49,-0.2,-0.97
